area_code,inflow,outflow,net,age_band,year
E06000064,9364.1,7835.1,1529.0,All ages,2024
E06000065,31000.9,25637.9,5363.0,All ages,2024
E06000066,25283.0,20814.0,4469.0,All ages,2024
E09000001,1748.0,1890.0,-142.0,All ages,2024
E09000002,20804.0,23669.0,-2865.0,All ages,2024
E09000003,33403.0,34462.0,-1059.0,All ages,2024
E09000004,17938.0,17366.0,572.0,All ages,2024
E09000005,33495.0,40924.0,-7429.0,All ages,2024
E09000006,22045.0,22410.0,-365.0,All ages,2024
E09000007,26414.0,32053.0,-5639.0,All ages,2024
E09000008,31451.0,35236.0,-3785.0,All ages,2024
E09000009,34184.0,40298.0,-6114.0,All ages,2024
E09000010,22287.0,26126.0,-3839.0,All ages,2024
E09000011,26304.0,31458.0,-5154.0,All ages,2024
E09000012,26998.0,30941.0,-3943.0,All ages,2024
E09000013,24577.0,26019.0,-1442.0,All ages,2024
E09000014,29781.0,32060.0,-2279.0,All ages,2024
E09000015,20995.0,25637.0,-4642.0,All ages,2024
E09000016,19784.0,17680.0,2104.0,All ages,2024
E09000017,27096.0,31981.0,-4885.0,All ages,2024
E09000018,22205.0,28879.0,-6674.0,All ages,2024
E09000019,26985.0,30811.0,-3826.0,All ages,2024
E09000020,13438.0,16861.0,-3423.0,All ages,2024
E09000021,14732.0,16228.0,-1496.0,All ages,2024
E09000022,38694.0,45366.0,-6672.0,All ages,2024
E09000023,27977.0,32099.0,-4122.0,All ages,2024
E09000024,20307.0,22915.0,-2608.0,All ages,2024
E09000025,32615.0,47664.0,-15049.0,All ages,2024
E09000026,25526.0,33280.0,-7754.0,All ages,2024
E09000027,15452.0,16633.0,-1181.0,All ages,2024
E09000028,35190.0,41230.0,-6040.0,All ages,2024
E09000029,13761.0,14389.0,-628.0,All ages,2024
E09000030,35357.1,43229.0,-7871.9,All ages,2024
E09000031,23573.0,27492.0,-3919.0,All ages,2024
E09000032,41963.0,43019.0,-1056.0,All ages,2024
E09000033,21657.0,26613.0,-4956.0,All ages,2024
