time_period,time_identifier,geographic_level,country_code,country_name,region_name,region_code,old_la_code,la_name,new_la_code,pcon_code,pcon_name,phase_type_grouping,establishment_type,hospital_school,sen_provision,pupil_count
202425,Academic year,Local authority,E92000001,England,London,E12000007,206,Islington,E09000019,,,State-funded special school,Total,Total,Total,632
202425,Academic year,Local authority,E92000001,England,London,E12000007,206,Islington,E09000019,,,State-funded special school,Total,Total,"Education, health and care plan",632
202425,Academic year,Local authority,E92000001,England,London,E12000007,206,Islington,E09000019,,,State-funded special school,Total,Total,SEN support / SEN without an EHC plan,0
202425,Academic year,Local authority,E92000001,England,London,E12000007,207,Kensington and Chelsea,E09000020,,,Independent school,Total,Total,Total,10788
202425,Academic year,Local authority,E92000001,England,London,E12000007,207,Kensington and Chelsea,E09000020,,,Independent school,Total,Total,"Education, health and care plan",134
202425,Academic year,Local authority,E92000001,England,London,E12000007,207,Kensington and Chelsea,E09000020,,,Independent school,Total,Total,SEN support / SEN without an EHC plan,1609
202425,Academic year,Local authority,E92000001,England,London,E12000007,207,Kensington and Chelsea,E09000020,,,State-funded alternative provision,Total,Total,Total,43
202425,Academic year,Local authority,E92000001,England,London,E12000007,207,Kensington and Chelsea,E09000020,,,State-funded alternative provision,Total,Total,"Education, health and care plan",16
202425,Academic year,Local authority,E92000001,England,London,E12000007,207,Kensington and Chelsea,E09000020,,,State-funded alternative provision,Total,Total,SEN support / SEN without an EHC plan,27
202425,Academic year,Local authority,E92000001,England,London,E12000007,207,Kensington and Chelsea,E09000020,,,State-funded nursery,Total,Total,Total,204
202425,Academic year,Local authority,E92000001,England,London,E12000007,207,Kensington and Chelsea,E09000020,,,State-funded nursery,Total,Total,"Education, health and care plan",3
202425,Academic year,Local authority,E92000001,England,London,E12000007,207,Kensington and Chelsea,E09000020,,,State-funded nursery,Total,Total,SEN support / SEN without an EHC plan,43
202425,Academic year,Local authority,E92000001,England,London,E12000007,207,Kensington and Chelsea,E09000020,,,State-funded primary,Total,Total,Total,6467
202425,Academic year,Local authority,E92000001,England,London,E12000007,207,Kensington and Chelsea,E09000020,,,State-funded primary,Total,Total,"Education, health and care plan",373
202425,Academic year,Local authority,E92000001,England,London,E12000007,207,Kensington and Chelsea,E09000020,,,State-funded primary,Total,Total,SEN support / SEN without an EHC plan,881
202425,Academic year,Local authority,E92000001,England,London,E12000007,207,Kensington and Chelsea,E09000020,,,State-funded secondary,Total,Total,Total,6097
202425,Academic year,Local authority,E92000001,England,London,E12000007,207,Kensington and Chelsea,E09000020,,,State-funded secondary,Total,Total,"Education, health and care plan",312
202425,Academic year,Local authority,E92000001,England,London,E12000007,207,Kensington and Chelsea,E09000020,,,State-funded secondary,Total,Total,SEN support / SEN without an EHC plan,800
202425,Academic year,Local authority,E92000001,England,London,E12000007,207,Kensington and Chelsea,E09000020,,,State-funded special school,Total,Total,Total,341
202425,Academic year,Local authority,E92000001,England,London,E12000007,207,Kensington and Chelsea,E09000020,,,State-funded special school,Total,Total,"Education, health and care plan",274
202425,Academic year,Local authority,E92000001,England,London,E12000007,207,Kensington and Chelsea,E09000020,,,State-funded special school,Total,Total,SEN support / SEN without an EHC plan,23
202425,Academic year,Local authority,E92000001,England,London,E12000007,314,Kingston upon Thames,E09000021,,,Independent school,Total,Total,Total,4095
202425,Academic year,Local authority,E92000001,England,London,E12000007,314,Kingston upon Thames,E09000021,,,Independent school,Total,Total,"Education, health and care plan",81
202425,Academic year,Local authority,E92000001,England,London,E12000007,314,Kingston upon Thames,E09000021,,,Independent school,Total,Total,SEN support / SEN without an EHC plan,881
202425,Academic year,Local authority,E92000001,England,London,E12000007,314,Kingston upon Thames,E09000021,,,State-funded alternative provision,Total,Total,Total,227
202425,Academic year,Local authority,E92000001,England,London,E12000007,314,Kingston upon Thames,E09000021,,,State-funded alternative provision,Total,Total,"Education, health and care plan",119
202425,Academic year,Local authority,E92000001,England,London,E12000007,314,Kingston upon Thames,E09000021,,,State-funded alternative provision,Total,Total,SEN support / SEN without an EHC plan,22
202425,Academic year,Local authority,E92000001,England,London,E12000007,314,Kingston upon Thames,E09000021,,,State-funded nursery,Total,Total,Total,130
202425,Academic year,Local authority,E92000001,England,London,E12000007,314,Kingston upon Thames,E09000021,,,State-funded nursery,Total,Total,"Education, health and care plan",9
202425,Academic year,Local authority,E92000001,England,London,E12000007,314,Kingston upon Thames,E09000021,,,State-funded nursery,Total,Total,SEN support / SEN without an EHC plan,35
202425,Academic year,Local authority,E92000001,England,London,E12000007,314,Kingston upon Thames,E09000021,,,State-funded primary,Total,Total,Total,13194
202425,Academic year,Local authority,E92000001,England,London,E12000007,314,Kingston upon Thames,E09000021,,,State-funded primary,Total,Total,"Education, health and care plan",505
202425,Academic year,Local authority,E92000001,England,London,E12000007,314,Kingston upon Thames,E09000021,,,State-funded primary,Total,Total,SEN support / SEN without an EHC plan,1881
202425,Academic year,Local authority,E92000001,England,London,E12000007,314,Kingston upon Thames,E09000021,,,State-funded secondary,Total,Total,Total,12825
202425,Academic year,Local authority,E92000001,England,London,E12000007,314,Kingston upon Thames,E09000021,,,State-funded secondary,Total,Total,"Education, health and care plan",384
202425,Academic year,Local authority,E92000001,England,London,E12000007,314,Kingston upon Thames,E09000021,,,State-funded secondary,Total,Total,SEN support / SEN without an EHC plan,1235
202425,Academic year,Local authority,E92000001,England,London,E12000007,314,Kingston upon Thames,E09000021,,,State-funded special school,Total,Total,Total,537
202425,Academic year,Local authority,E92000001,England,London,E12000007,314,Kingston upon Thames,E09000021,,,State-funded special school,Total,Total,"Education, health and care plan",527
202425,Academic year,Local authority,E92000001,England,London,E12000007,314,Kingston upon Thames,E09000021,,,State-funded special school,Total,Total,SEN support / SEN without an EHC plan,10
202425,Academic year,Local authority,E92000001,England,London,E12000007,208,Lambeth,E09000022,,,Independent school,Total,Total,Total,2142
202425,Academic year,Local authority,E92000001,England,London,E12000007,208,Lambeth,E09000022,,,Independent school,Total,Total,"Education, health and care plan",186
202425,Academic year,Local authority,E92000001,England,London,E12000007,208,Lambeth,E09000022,,,Independent school,Total,Total,SEN support / SEN without an EHC plan,301
202425,Academic year,Local authority,E92000001,England,London,E12000007,208,Lambeth,E09000022,,,State-funded alternative provision,Total,Total,Total,81
202425,Academic year,Local authority,E92000001,England,London,E12000007,208,Lambeth,E09000022,,,State-funded alternative provision,Total,Total,"Education, health and care plan",51
202425,Academic year,Local authority,E92000001,England,London,E12000007,208,Lambeth,E09000022,,,State-funded alternative provision,Total,Total,SEN support / SEN without an EHC plan,7
202425,Academic year,Local authority,E92000001,England,London,E12000007,208,Lambeth,E09000022,,,State-funded nursery,Total,Total,Total,372
202425,Academic year,Local authority,E92000001,England,London,E12000007,208,Lambeth,E09000022,,,State-funded nursery,Total,Total,"Education, health and care plan",14
202425,Academic year,Local authority,E92000001,England,London,E12000007,208,Lambeth,E09000022,,,State-funded nursery,Total,Total,SEN support / SEN without an EHC plan,80
202425,Academic year,Local authority,E92000001,England,London,E12000007,208,Lambeth,E09000022,,,State-funded primary,Total,Total,Total,18198
202425,Academic year,Local authority,E92000001,England,London,E12000007,208,Lambeth,E09000022,,,State-funded primary,Total,Total,"Education, health and care plan",989
202425,Academic year,Local authority,E92000001,England,London,E12000007,208,Lambeth,E09000022,,,State-funded primary,Total,Total,SEN support / SEN without an EHC plan,2799
202425,Academic year,Local authority,E92000001,England,London,E12000007,208,Lambeth,E09000022,,,State-funded secondary,Total,Total,Total,15584
202425,Academic year,Local authority,E92000001,England,London,E12000007,208,Lambeth,E09000022,,,State-funded secondary,Total,Total,"Education, health and care plan",617
202425,Academic year,Local authority,E92000001,England,London,E12000007,208,Lambeth,E09000022,,,State-funded secondary,Total,Total,SEN support / SEN without an EHC plan,2151
202425,Academic year,Local authority,E92000001,England,London,E12000007,208,Lambeth,E09000022,,,State-funded special school,Total,Total,Total,745
202425,Academic year,Local authority,E92000001,England,London,E12000007,208,Lambeth,E09000022,,,State-funded special school,Total,Total,"Education, health and care plan",744
202425,Academic year,Local authority,E92000001,England,London,E12000007,208,Lambeth,E09000022,,,State-funded special school,Total,Total,SEN support / SEN without an EHC plan,1
202425,Academic year,Local authority,E92000001,England,London,E12000007,209,Lewisham,E09000023,,,Independent school,Total,Total,Total,2168
202425,Academic year,Local authority,E92000001,England,London,E12000007,209,Lewisham,E09000023,,,Independent school,Total,Total,"Education, health and care plan",58
202425,Academic year,Local authority,E92000001,England,London,E12000007,209,Lewisham,E09000023,,,Independent school,Total,Total,SEN support / SEN without an EHC plan,418
202425,Academic year,Local authority,E92000001,England,London,E12000007,209,Lewisham,E09000023,,,State-funded alternative provision,Total,Total,Total,108
202425,Academic year,Local authority,E92000001,England,London,E12000007,209,Lewisham,E09000023,,,State-funded alternative provision,Total,Total,"Education, health and care plan",2
202425,Academic year,Local authority,E92000001,England,London,E12000007,209,Lewisham,E09000023,,,State-funded alternative provision,Total,Total,SEN support / SEN without an EHC plan,41
202425,Academic year,Local authority,E92000001,England,London,E12000007,209,Lewisham,E09000023,,,State-funded nursery,Total,Total,Total,221
202425,Academic year,Local authority,E92000001,England,London,E12000007,209,Lewisham,E09000023,,,State-funded nursery,Total,Total,"Education, health and care plan",8
202425,Academic year,Local authority,E92000001,England,London,E12000007,209,Lewisham,E09000023,,,State-funded nursery,Total,Total,SEN support / SEN without an EHC plan,43
202425,Academic year,Local authority,E92000001,England,London,E12000007,209,Lewisham,E09000023,,,State-funded primary,Total,Total,Total,22075
202425,Academic year,Local authority,E92000001,England,London,E12000007,209,Lewisham,E09000023,,,State-funded primary,Total,Total,"Education, health and care plan",845
202425,Academic year,Local authority,E92000001,England,London,E12000007,209,Lewisham,E09000023,,,State-funded primary,Total,Total,SEN support / SEN without an EHC plan,3392
202425,Academic year,Local authority,E92000001,England,London,E12000007,209,Lewisham,E09000023,,,State-funded secondary,Total,Total,Total,14378
202425,Academic year,Local authority,E92000001,England,London,E12000007,209,Lewisham,E09000023,,,State-funded secondary,Total,Total,"Education, health and care plan",543
202425,Academic year,Local authority,E92000001,England,London,E12000007,209,Lewisham,E09000023,,,State-funded secondary,Total,Total,SEN support / SEN without an EHC plan,2267
202425,Academic year,Local authority,E92000001,England,London,E12000007,209,Lewisham,E09000023,,,State-funded special school,Total,Total,Total,975
202425,Academic year,Local authority,E92000001,England,London,E12000007,209,Lewisham,E09000023,,,State-funded special school,Total,Total,"Education, health and care plan",969
202425,Academic year,Local authority,E92000001,England,London,E12000007,209,Lewisham,E09000023,,,State-funded special school,Total,Total,SEN support / SEN without an EHC plan,6
202425,Academic year,Local authority,E92000001,England,London,E12000007,315,Merton,E09000024,,,Independent school,Total,Total,Total,4645
202425,Academic year,Local authority,E92000001,England,London,E12000007,315,Merton,E09000024,,,Independent school,Total,Total,"Education, health and care plan",384
202425,Academic year,Local authority,E92000001,England,London,E12000007,315,Merton,E09000024,,,Independent school,Total,Total,SEN support / SEN without an EHC plan,602
202425,Academic year,Local authority,E92000001,England,London,E12000007,315,Merton,E09000024,,,State-funded alternative provision,Total,Total,Total,54
202425,Academic year,Local authority,E92000001,England,London,E12000007,315,Merton,E09000024,,,State-funded alternative provision,Total,Total,"Education, health and care plan",0
202425,Academic year,Local authority,E92000001,England,London,E12000007,315,Merton,E09000024,,,State-funded alternative provision,Total,Total,SEN support / SEN without an EHC plan,27
202425,Academic year,Local authority,E92000001,England,London,E12000007,315,Merton,E09000024,,,State-funded primary,Total,Total,Total,16006
202425,Academic year,Local authority,E92000001,England,London,E12000007,315,Merton,E09000024,,,State-funded primary,Total,Total,"Education, health and care plan",717
202425,Academic year,Local authority,E92000001,England,London,E12000007,315,Merton,E09000024,,,State-funded primary,Total,Total,SEN support / SEN without an EHC plan,2229
202425,Academic year,Local authority,E92000001,England,London,E12000007,315,Merton,E09000024,,,State-funded secondary,Total,Total,Total,11009
202425,Academic year,Local authority,E92000001,England,London,E12000007,315,Merton,E09000024,,,State-funded secondary,Total,Total,"Education, health and care plan",377
202425,Academic year,Local authority,E92000001,England,London,E12000007,315,Merton,E09000024,,,State-funded secondary,Total,Total,SEN support / SEN without an EHC plan,1804
202425,Academic year,Local authority,E92000001,England,London,E12000007,315,Merton,E09000024,,,State-funded special school,Total,Total,Total,551
202425,Academic year,Local authority,E92000001,England,London,E12000007,315,Merton,E09000024,,,State-funded special school,Total,Total,"Education, health and care plan",550
202425,Academic year,Local authority,E92000001,England,London,E12000007,315,Merton,E09000024,,,State-funded special school,Total,Total,SEN support / SEN without an EHC plan,1
202425,Academic year,Local authority,E92000001,England,London,E12000007,316,Newham,E09000025,,,Independent school,Total,Total,Total,1147
202425,Academic year,Local authority,E92000001,England,London,E12000007,316,Newham,E09000025,,,Independent school,Total,Total,"Education, health and care plan",89
202425,Academic year,Local authority,E92000001,England,London,E12000007,316,Newham,E09000025,,,Independent school,Total,Total,SEN support / SEN without an EHC plan,25
202425,Academic year,Local authority,E92000001,England,London,E12000007,316,Newham,E09000025,,,State-funded alternative provision,Total,Total,Total,144
202425,Academic year,Local authority,E92000001,England,London,E12000007,316,Newham,E09000025,,,State-funded alternative provision,Total,Total,"Education, health and care plan",10
202425,Academic year,Local authority,E92000001,England,London,E12000007,316,Newham,E09000025,,,State-funded alternative provision,Total,Total,SEN support / SEN without an EHC plan,70
202425,Academic year,Local authority,E92000001,England,London,E12000007,316,Newham,E09000025,,,State-funded nursery,Total,Total,Total,1105
202425,Academic year,Local authority,E92000001,England,London,E12000007,316,Newham,E09000025,,,State-funded nursery,Total,Total,"Education, health and care plan",8
202425,Academic year,Local authority,E92000001,England,London,E12000007,316,Newham,E09000025,,,State-funded nursery,Total,Total,SEN support / SEN without an EHC plan,284
202425,Academic year,Local authority,E92000001,England,London,E12000007,316,Newham,E09000025,,,State-funded primary,Total,Total,Total,32969
202425,Academic year,Local authority,E92000001,England,London,E12000007,316,Newham,E09000025,,,State-funded primary,Total,Total,"Education, health and care plan",1243
202425,Academic year,Local authority,E92000001,England,London,E12000007,316,Newham,E09000025,,,State-funded primary,Total,Total,SEN support / SEN without an EHC plan,4067
202425,Academic year,Local authority,E92000001,England,London,E12000007,316,Newham,E09000025,,,State-funded secondary,Total,Total,Total,28586
202425,Academic year,Local authority,E92000001,England,London,E12000007,316,Newham,E09000025,,,State-funded secondary,Total,Total,"Education, health and care plan",880
202425,Academic year,Local authority,E92000001,England,London,E12000007,316,Newham,E09000025,,,State-funded secondary,Total,Total,SEN support / SEN without an EHC plan,2480
202425,Academic year,Local authority,E92000001,England,London,E12000007,316,Newham,E09000025,,,State-funded special school,Total,Total,Total,293
202425,Academic year,Local authority,E92000001,England,London,E12000007,316,Newham,E09000025,,,State-funded special school,Total,Total,"Education, health and care plan",292
202425,Academic year,Local authority,E92000001,England,London,E12000007,316,Newham,E09000025,,,State-funded special school,Total,Total,SEN support / SEN without an EHC plan,1
202425,Academic year,Local authority,E92000001,England,London,E12000007,317,Redbridge,E09000026,,,Independent school,Total,Total,Total,3007
202425,Academic year,Local authority,E92000001,England,London,E12000007,317,Redbridge,E09000026,,,Independent school,Total,Total,"Education, health and care plan",23
202425,Academic year,Local authority,E92000001,England,London,E12000007,317,Redbridge,E09000026,,,Independent school,Total,Total,SEN support / SEN without an EHC plan,333
202425,Academic year,Local authority,E92000001,England,London,E12000007,317,Redbridge,E09000026,,,State-funded alternative provision,Total,Total,Total,70
202425,Academic year,Local authority,E92000001,England,London,E12000007,317,Redbridge,E09000026,,,State-funded alternative provision,Total,Total,"Education, health and care plan",9
202425,Academic year,Local authority,E92000001,England,London,E12000007,317,Redbridge,E09000026,,,State-funded alternative provision,Total,Total,SEN support / SEN without an EHC plan,23
202425,Academic year,Local authority,E92000001,England,London,E12000007,317,Redbridge,E09000026,,,State-funded primary,Total,Total,Total,28109
202425,Academic year,Local authority,E92000001,England,London,E12000007,317,Redbridge,E09000026,,,State-funded primary,Total,Total,"Education, health and care plan",1067
202425,Academic year,Local authority,E92000001,England,London,E12000007,317,Redbridge,E09000026,,,State-funded primary,Total,Total,SEN support / SEN without an EHC plan,3293
202425,Academic year,Local authority,E92000001,England,London,E12000007,317,Redbridge,E09000026,,,State-funded secondary,Total,Total,Total,28674
202425,Academic year,Local authority,E92000001,England,London,E12000007,317,Redbridge,E09000026,,,State-funded secondary,Total,Total,"Education, health and care plan",764
202425,Academic year,Local authority,E92000001,England,London,E12000007,317,Redbridge,E09000026,,,State-funded secondary,Total,Total,SEN support / SEN without an EHC plan,3072
202425,Academic year,Local authority,E92000001,England,London,E12000007,317,Redbridge,E09000026,,,State-funded special school,Total,Total,Total,776
202425,Academic year,Local authority,E92000001,England,London,E12000007,317,Redbridge,E09000026,,,State-funded special school,Total,Total,"Education, health and care plan",762
202425,Academic year,Local authority,E92000001,England,London,E12000007,317,Redbridge,E09000026,,,State-funded special school,Total,Total,SEN support / SEN without an EHC plan,11
202425,Academic year,Local authority,E92000001,England,London,E12000007,318,Richmond upon Thames,E09000027,,,Independent school,Total,Total,Total,10441
202425,Academic year,Local authority,E92000001,England,London,E12000007,318,Richmond upon Thames,E09000027,,,Independent school,Total,Total,"Education, health and care plan",21
202425,Academic year,Local authority,E92000001,England,London,E12000007,318,Richmond upon Thames,E09000027,,,Independent school,Total,Total,SEN support / SEN without an EHC plan,1619
202425,Academic year,Local authority,E92000001,England,London,E12000007,318,Richmond upon Thames,E09000027,,,State-funded nursery,Total,Total,Total,89
202425,Academic year,Local authority,E92000001,England,London,E12000007,318,Richmond upon Thames,E09000027,,,State-funded nursery,Total,Total,"Education, health and care plan",0
202425,Academic year,Local authority,E92000001,England,London,E12000007,318,Richmond upon Thames,E09000027,,,State-funded nursery,Total,Total,SEN support / SEN without an EHC plan,0
202425,Academic year,Local authority,E92000001,England,London,E12000007,318,Richmond upon Thames,E09000027,,,State-funded primary,Total,Total,Total,16011
202425,Academic year,Local authority,E92000001,England,London,E12000007,318,Richmond upon Thames,E09000027,,,State-funded primary,Total,Total,"Education, health and care plan",639
202425,Academic year,Local authority,E92000001,England,London,E12000007,318,Richmond upon Thames,E09000027,,,State-funded primary,Total,Total,SEN support / SEN without an EHC plan,1694
202425,Academic year,Local authority,E92000001,England,London,E12000007,318,Richmond upon Thames,E09000027,,,State-funded secondary,Total,Total,Total,12487
202425,Academic year,Local authority,E92000001,England,London,E12000007,318,Richmond upon Thames,E09000027,,,State-funded secondary,Total,Total,"Education, health and care plan",456
202425,Academic year,Local authority,E92000001,England,London,E12000007,318,Richmond upon Thames,E09000027,,,State-funded secondary,Total,Total,SEN support / SEN without an EHC plan,1587
202425,Academic year,Local authority,E92000001,England,London,E12000007,318,Richmond upon Thames,E09000027,,,State-funded special school,Total,Total,Total,364
202425,Academic year,Local authority,E92000001,England,London,E12000007,318,Richmond upon Thames,E09000027,,,State-funded special school,Total,Total,"Education, health and care plan",354
202425,Academic year,Local authority,E92000001,England,London,E12000007,318,Richmond upon Thames,E09000027,,,State-funded special school,Total,Total,SEN support / SEN without an EHC plan,10
202425,Academic year,Local authority,E92000001,England,London,E12000007,210,Southwark,E09000028,,,Independent school,Total,Total,Total,6114
202425,Academic year,Local authority,E92000001,England,London,E12000007,210,Southwark,E09000028,,,Independent school,Total,Total,"Education, health and care plan",123
202425,Academic year,Local authority,E92000001,England,London,E12000007,210,Southwark,E09000028,,,Independent school,Total,Total,SEN support / SEN without an EHC plan,993
202425,Academic year,Local authority,E92000001,England,London,E12000007,210,Southwark,E09000028,,,State-funded alternative provision,Total,Total,Total,41
202425,Academic year,Local authority,E92000001,England,London,E12000007,210,Southwark,E09000028,,,State-funded alternative provision,Total,Total,"Education, health and care plan",0
202425,Academic year,Local authority,E92000001,England,London,E12000007,210,Southwark,E09000028,,,State-funded alternative provision,Total,Total,SEN support / SEN without an EHC plan,38
202425,Academic year,Local authority,E92000001,England,London,E12000007,210,Southwark,E09000028,,,State-funded nursery,Total,Total,Total,402
202425,Academic year,Local authority,E92000001,England,London,E12000007,210,Southwark,E09000028,,,State-funded nursery,Total,Total,"Education, health and care plan",6
202425,Academic year,Local authority,E92000001,England,London,E12000007,210,Southwark,E09000028,,,State-funded nursery,Total,Total,SEN support / SEN without an EHC plan,143
202425,Academic year,Local authority,E92000001,England,London,E12000007,210,Southwark,E09000028,,,State-funded primary,Total,Total,Total,20463
202425,Academic year,Local authority,E92000001,England,London,E12000007,210,Southwark,E09000028,,,State-funded primary,Total,Total,"Education, health and care plan",938
202425,Academic year,Local authority,E92000001,England,London,E12000007,210,Southwark,E09000028,,,State-funded primary,Total,Total,SEN support / SEN without an EHC plan,3444
202425,Academic year,Local authority,E92000001,England,London,E12000007,210,Southwark,E09000028,,,State-funded secondary,Total,Total,Total,19700
202425,Academic year,Local authority,E92000001,England,London,E12000007,210,Southwark,E09000028,,,State-funded secondary,Total,Total,"Education, health and care plan",617
202425,Academic year,Local authority,E92000001,England,London,E12000007,210,Southwark,E09000028,,,State-funded secondary,Total,Total,SEN support / SEN without an EHC plan,2815
202425,Academic year,Local authority,E92000001,England,London,E12000007,210,Southwark,E09000028,,,State-funded special school,Total,Total,Total,929
202425,Academic year,Local authority,E92000001,England,London,E12000007,210,Southwark,E09000028,,,State-funded special school,Total,Total,"Education, health and care plan",816
202425,Academic year,Local authority,E92000001,England,London,E12000007,210,Southwark,E09000028,,,State-funded special school,Total,Total,SEN support / SEN without an EHC plan,40
202425,Academic year,Local authority,E92000001,England,London,E12000007,319,Sutton,E09000029,,,Independent school,Total,Total,Total,1692
202425,Academic year,Local authority,E92000001,England,London,E12000007,319,Sutton,E09000029,,,Independent school,Total,Total,"Education, health and care plan",216
202425,Academic year,Local authority,E92000001,England,London,E12000007,319,Sutton,E09000029,,,Independent school,Total,Total,SEN support / SEN without an EHC plan,169
202425,Academic year,Local authority,E92000001,England,London,E12000007,319,Sutton,E09000029,,,State-funded alternative provision,Total,Total,Total,85
202425,Academic year,Local authority,E92000001,England,London,E12000007,319,Sutton,E09000029,,,State-funded alternative provision,Total,Total,"Education, health and care plan",7
202425,Academic year,Local authority,E92000001,England,London,E12000007,319,Sutton,E09000029,,,State-funded alternative provision,Total,Total,SEN support / SEN without an EHC plan,78
202425,Academic year,Local authority,E92000001,England,London,E12000007,319,Sutton,E09000029,,,State-funded nursery,Total,Total,Total,142
202425,Academic year,Local authority,E92000001,England,London,E12000007,319,Sutton,E09000029,,,State-funded nursery,Total,Total,"Education, health and care plan",2
202425,Academic year,Local authority,E92000001,England,London,E12000007,319,Sutton,E09000029,,,State-funded nursery,Total,Total,SEN support / SEN without an EHC plan,33
202425,Academic year,Local authority,E92000001,England,London,E12000007,319,Sutton,E09000029,,,State-funded primary,Total,Total,Total,18628
202425,Academic year,Local authority,E92000001,England,London,E12000007,319,Sutton,E09000029,,,State-funded primary,Total,Total,"Education, health and care plan",799
202425,Academic year,Local authority,E92000001,England,London,E12000007,319,Sutton,E09000029,,,State-funded primary,Total,Total,SEN support / SEN without an EHC plan,2408
202425,Academic year,Local authority,E92000001,England,London,E12000007,319,Sutton,E09000029,,,State-funded secondary,Total,Total,Total,21636
202425,Academic year,Local authority,E92000001,England,London,E12000007,319,Sutton,E09000029,,,State-funded secondary,Total,Total,"Education, health and care plan",495
202425,Academic year,Local authority,E92000001,England,London,E12000007,319,Sutton,E09000029,,,State-funded secondary,Total,Total,SEN support / SEN without an EHC plan,2003
202425,Academic year,Local authority,E92000001,England,London,E12000007,319,Sutton,E09000029,,,State-funded special school,Total,Total,Total,678
202425,Academic year,Local authority,E92000001,England,London,E12000007,319,Sutton,E09000029,,,State-funded special school,Total,Total,"Education, health and care plan",677
202425,Academic year,Local authority,E92000001,England,London,E12000007,319,Sutton,E09000029,,,State-funded special school,Total,Total,SEN support / SEN without an EHC plan,1
202425,Academic year,Local authority,E92000001,England,London,E12000007,211,Tower Hamlets,E09000030,,,Independent school,Total,Total,Total,2278
202425,Academic year,Local authority,E92000001,England,London,E12000007,211,Tower Hamlets,E09000030,,,Independent school,Total,Total,"Education, health and care plan",180
202425,Academic year,Local authority,E92000001,England,London,E12000007,211,Tower Hamlets,E09000030,,,Independent school,Total,Total,SEN support / SEN without an EHC plan,277
202425,Academic year,Local authority,E92000001,England,London,E12000007,211,Tower Hamlets,E09000030,,,State-funded alternative provision,Total,Total,Total,106
202425,Academic year,Local authority,E92000001,England,London,E12000007,211,Tower Hamlets,E09000030,,,State-funded alternative provision,Total,Total,"Education, health and care plan",13
202425,Academic year,Local authority,E92000001,England,London,E12000007,211,Tower Hamlets,E09000030,,,State-funded alternative provision,Total,Total,SEN support / SEN without an EHC plan,48
202425,Academic year,Local authority,E92000001,England,London,E12000007,211,Tower Hamlets,E09000030,,,State-funded nursery,Total,Total,Total,303
202425,Academic year,Local authority,E92000001,England,London,E12000007,211,Tower Hamlets,E09000030,,,State-funded nursery,Total,Total,"Education, health and care plan",14
202425,Academic year,Local authority,E92000001,England,London,E12000007,211,Tower Hamlets,E09000030,,,State-funded nursery,Total,Total,SEN support / SEN without an EHC plan,43
202425,Academic year,Local authority,E92000001,England,London,E12000007,211,Tower Hamlets,E09000030,,,State-funded primary,Total,Total,Total,23993
202425,Academic year,Local authority,E92000001,England,London,E12000007,211,Tower Hamlets,E09000030,,,State-funded primary,Total,Total,"Education, health and care plan",1570
202425,Academic year,Local authority,E92000001,England,London,E12000007,211,Tower Hamlets,E09000030,,,State-funded primary,Total,Total,SEN support / SEN without an EHC plan,3717
202425,Academic year,Local authority,E92000001,England,London,E12000007,211,Tower Hamlets,E09000030,,,State-funded secondary,Total,Total,Total,19502
202425,Academic year,Local authority,E92000001,England,London,E12000007,211,Tower Hamlets,E09000030,,,State-funded secondary,Total,Total,"Education, health and care plan",982
202425,Academic year,Local authority,E92000001,England,London,E12000007,211,Tower Hamlets,E09000030,,,State-funded secondary,Total,Total,SEN support / SEN without an EHC plan,2093
202425,Academic year,Local authority,E92000001,England,London,E12000007,211,Tower Hamlets,E09000030,,,State-funded special school,Total,Total,Total,815
202425,Academic year,Local authority,E92000001,England,London,E12000007,211,Tower Hamlets,E09000030,,,State-funded special school,Total,Total,"Education, health and care plan",815
202425,Academic year,Local authority,E92000001,England,London,E12000007,211,Tower Hamlets,E09000030,,,State-funded special school,Total,Total,SEN support / SEN without an EHC plan,0
202425,Academic year,Local authority,E92000001,England,London,E12000007,320,Waltham Forest,E09000031,,,Independent school,Total,Total,Total,2116
202425,Academic year,Local authority,E92000001,England,London,E12000007,320,Waltham Forest,E09000031,,,Independent school,Total,Total,"Education, health and care plan",7
202425,Academic year,Local authority,E92000001,England,London,E12000007,320,Waltham Forest,E09000031,,,Independent school,Total,Total,SEN support / SEN without an EHC plan,157
202425,Academic year,Local authority,E92000001,England,London,E12000007,320,Waltham Forest,E09000031,,,State-funded alternative provision,Total,Total,Total,23
202425,Academic year,Local authority,E92000001,England,London,E12000007,320,Waltham Forest,E09000031,,,State-funded alternative provision,Total,Total,"Education, health and care plan",0
202425,Academic year,Local authority,E92000001,England,London,E12000007,320,Waltham Forest,E09000031,,,State-funded alternative provision,Total,Total,SEN support / SEN without an EHC plan,18
202425,Academic year,Local authority,E92000001,England,London,E12000007,320,Waltham Forest,E09000031,,,State-funded nursery,Total,Total,Total,264
202425,Academic year,Local authority,E92000001,England,London,E12000007,320,Waltham Forest,E09000031,,,State-funded nursery,Total,Total,"Education, health and care plan",5
202425,Academic year,Local authority,E92000001,England,London,E12000007,320,Waltham Forest,E09000031,,,State-funded nursery,Total,Total,SEN support / SEN without an EHC plan,21
202425,Academic year,Local authority,E92000001,England,London,E12000007,320,Waltham Forest,E09000031,,,State-funded primary,Total,Total,Total,23992
202425,Academic year,Local authority,E92000001,England,London,E12000007,320,Waltham Forest,E09000031,,,State-funded primary,Total,Total,"Education, health and care plan",1134
