time_period,time_identifier,geographic_level,country_code,country_name,region_code,region_name,old_la_code,la_name,new_la_code,phase-type_grouping,boarder,ncyear,resident_headcount,school_in_la,school_outside_la,Camden,Hammersmith_and_Fulham,Islington,Kensington_and_Chelsea,Wandsworth,Westminster
202122,Academic year,Local authority,E92000001,England,E12000007,London,202,Camden,E09000007,Secondary,Total,Total,7088,5125,1963,5125,24,481,75,0,1018
202122,Academic year,Local authority,E92000001,England,E12000007,London,202,Camden,E09000007,Special School,Total,Total,267,222,45,222,6,15,1,1,4
202122,Academic year,Local authority,E92000001,England,E12000007,London,205,Hammersmith and Fulham,E09000013,Primary,Total,Total,8503,7694,809,1,7694,2,574,35,23
202122,Academic year,Local authority,E92000001,England,E12000007,London,205,Hammersmith and Fulham,E09000013,Secondary,Total,Total,5897,4275,1622,5,4275,1,863,92,70
202122,Academic year,Local authority,E92000001,England,E12000007,London,205,Hammersmith and Fulham,E09000013,Special School,Total,Total,305,273,32,2,273,1,2,5,9
202122,Academic year,Local authority,E92000001,England,E12000007,London,206,Islington,E09000019,Primary,Total,Total,12379,10745,1634,615,2,10745,8,0,27
202122,Academic year,Local authority,E92000001,England,E12000007,London,206,Islington,E09000019,Secondary,Total,Total,8308,5827,2481,1180,35,5827,46,3,130
202122,Academic year,Local authority,E92000001,England,E12000007,London,206,Islington,E09000019,Special School,Total,Total,377,345,32,8,2,345,0,0,0
202122,Academic year,Local authority,E92000001,England,E12000007,London,207,Kensington and Chelsea,E09000020,Primary,Total,Total,4789,4490,299,1,154,0,4490,4,108
202122,Academic year,Local authority,E92000001,England,E12000007,London,207,Kensington and Chelsea,E09000020,Secondary,Total,Total,3141,2277,864,7,531,3,2277,14,183
202122,Academic year,Local authority,E92000001,England,E12000007,London,207,Kensington and Chelsea,E09000020,Special School,Total,Total,124,20,104,1,63,0,20,2,31
202122,Academic year,Local authority,E92000001,England,E12000007,London,212,Wandsworth,E09000032,Primary,Total,Total,17642,15938,1704,1,76,1,306,15938,74
202122,Academic year,Local authority,E92000001,England,E12000007,London,212,Wandsworth,E09000032,Secondary,Total,Total,10319,7425,2894,1,598,1,259,7425,86
202122,Academic year,Local authority,E92000001,England,E12000007,London,212,Wandsworth,E09000032,Special School,Total,Total,521,470,51,0,5,0,0,470,0
202122,Academic year,Local authority,E92000001,England,E12000007,London,213,Westminster,E09000033,Primary,Total,Total,7372,6377,995,75,15,6,681,1,6377
202122,Academic year,Local authority,E92000001,England,E12000007,London,213,Westminster,E09000033,Secondary,Total,Total,6114,4914,1200,181,182,12,550,26,4914
202122,Academic year,Local authority,E92000001,England,E12000007,London,213,Westminster,E09000033,Special School,Total,Total,261,136,125,6,82,2,22,2,136
202223,Academic year,Local authority,E92000001,England,E12000007,London,202,Camden,E09000007,Primary,Total,Total,9623,8342,1281,8342,6,282,7,0,540
202223,Academic year,Local authority,E92000001,England,E12000007,London,202,Camden,E09000007,Secondary,Total,Total,7133,5138,1995,5138,25,456,70,0,1070
202223,Academic year,Local authority,E92000001,England,E12000007,London,202,Camden,E09000007,Special School,Total,Total,273,237,36,237,5,9,1,1,3
202223,Academic year,Local authority,E92000001,England,E12000007,London,205,Hammersmith and Fulham,E09000013,Primary,Total,Total,8392,7507,885,1,7507,1,602,41,27
202223,Academic year,Local authority,E92000001,England,E12000007,London,205,Hammersmith and Fulham,E09000013,Secondary,Total,Total,5867,4302,1565,5,4302,2,825,91,69
202223,Academic year,Local authority,E92000001,England,E12000007,London,205,Hammersmith and Fulham,E09000013,Special School,Total,Total,320,290,30,1,290,0,1,5,10
202223,Academic year,Local authority,E92000001,England,E12000007,London,206,Islington,E09000019,Primary,Total,Total,12060,10461,1599,596,0,10461,10,1,25
202223,Academic year,Local authority,E92000001,England,E12000007,London,206,Islington,E09000019,Secondary,Total,Total,8396,5821,2575,1211,31,5821,48,2,124
202223,Academic year,Local authority,E92000001,England,E12000007,London,206,Islington,E09000019,Special School,Total,Total,402,368,34,8,0,368,0,1,0
202223,Academic year,Local authority,E92000001,England,E12000007,London,207,Kensington and Chelsea,E09000020,Primary,Total,Total,4582,4303,279,5,129,0,4303,5,108
202223,Academic year,Local authority,E92000001,England,E12000007,London,207,Kensington and Chelsea,E09000020,Secondary,Total,Total,3171,2305,866,6,538,1,2305,15,187
202223,Academic year,Local authority,E92000001,England,E12000007,London,207,Kensington and Chelsea,E09000020,Special School,Total,Total,132,27,105,2,62,1,27,2,32
202223,Academic year,Local authority,E92000001,England,E12000007,London,212,Wandsworth,E09000032,Primary,Total,Total,17212,15565,1647,1,74,0,312,15565,60
202223,Academic year,Local authority,E92000001,England,E12000007,London,212,Wandsworth,E09000032,Secondary,Total,Total,10409,7465,2944,2,641,2,254,7465,90
202223,Academic year,Local authority,E92000001,England,E12000007,London,212,Wandsworth,E09000032,Special School,Total,Total,524,466,58,0,4,0,1,466,0
202223,Academic year,Local authority,E92000001,England,E12000007,London,213,Westminster,E09000033,Primary,Total,Total,6968,5961,1007,80,14,7,684,4,5961
202223,Academic year,Local authority,E92000001,England,E12000007,London,213,Westminster,E09000033,Secondary,Total,Total,5947,4757,1190,180,172,7,573,22,4757
202223,Academic year,Local authority,E92000001,England,E12000007,London,213,Westminster,E09000033,Special School,Total,Total,267,143,124,4,75,1,34,1,143
202324,Academic year,Local authority,E92000001,England,E12000007,London,202,Camden,E09000007,Primary,Total,Total,9268,8035,1233,8035,2,276,7,0,514
202324,Academic year,Local authority,E92000001,England,E12000007,London,202,Camden,E09000007,Secondary,Total,Total,6900,4926,1974,4926,21,434,57,1,1103
202324,Academic year,Local authority,E92000001,England,E12000007,London,202,Camden,E09000007,Special School,Total,Total,273,229,44,229,4,14,1,1,3
202324,Academic year,Local authority,E92000001,England,E12000007,London,205,Hammersmith and Fulham,E09000013,Primary,Total,Total,8282,7403,879,0,7403,0,580,36,29
202324,Academic year,Local authority,E92000001,England,E12000007,London,205,Hammersmith and Fulham,E09000013,Secondary,Total,Total,5704,4169,1535,3,4169,0,833,76,68
202324,Academic year,Local authority,E92000001,England,E12000007,London,205,Hammersmith and Fulham,E09000013,Special School,Total,Total,317,283,34,1,283,0,1,5,12
202324,Academic year,Local authority,E92000001,England,E12000007,London,206,Islington,E09000019,Primary,Total,Total,11775,10257,1518,538,0,10257,5,0,23
